trip_id,date,time,driver_id,start_location,end_location,distance,duration,petrol_price,vehicle_mileage,weather,peak_hours,total_fare,Driver_Service,No_of_Seats,Car_Type,Driver_Wages
610475,04-07-2024,17:43:19,91350006,Velachery,College Campus,6.8,70,89.61,15,Sunny,False,73.12,No,6,Sedan,0
830779,26-08-2024,04:57:42,30187360,College Campus,Velachery,12.7,33,91.05,17,Rainy,False,122.44,Yes,4,SUV,8408
456575,13-06-2024,16:42:43,17334491,Anna Nagar,College Campus,28.7,54,86.91,20,Cloudy,True,205.78,Yes,4,Hatchback,7833
184875,01-07-2024,22:33:44,9004630,Velachery,College Campus,18.7,63,89.12,13,Rainy,True,249.98,Yes,4,Hatchback,8754
989989,27-07-2024,14:14:38,38301431,Porur,College Campus,21.8,19,88.83,13,Cloudy,True,245.79,No,6,SUV,0
93101,01-03-2024,20:56:36,67303032,Porur,College Campus,25.3,73,86.13,12,Rainy,False,326.86,Yes,4,SUV,6959
880609,08-03-2024,02:38:45,93992742,T Nagar,College Campus,8.1,75,86.55,19,Cloudy,False,71.95,Yes,6,Hatchback,6421
148135,28-01-2024,04:31:17,26820555,Anna Nagar,College Campus,5.4,75,87.62,15,Cloudy,False,56.78,No,7,Sedan,0
205938,27-12-2024,03:25:00,27770570,College Campus,Porur,27.5,37,93.09,19,Sunny,False,222.31,No,5,Minivan,0
237572,31-12-2024,00:27:22,38830116,College Campus,Velachery,15.7,86,93.38,13,Cloudy,False,202.99,No,5,Sedan,0
882956,14-02-2024,13:42:46,13404231,College Campus,T Nagar,23.9,48,85.13,12,Cloudy,False,279.76,Yes,7,Sedan,7261
224257,13-05-2024,19:58:52,80818624,Adyar,College Campus,7.6,37,86.33,16,Cloudy,False,73.81,No,4,Hatchback,0
718807,19-06-2024,00:03:05,70651225,Adyar,College Campus,17.7,79,87.53,17,Cloudy,True,164.04,Yes,4,Hatchback,6743
496107,04-11-2024,19:20:49,13161189,Anna Nagar,College Campus,10.7,49,91.58,16,Sunny,False,101.05,No,5,Sedan,0
573151,22-03-2024,06:45:05,17593208,College Campus,Velachery,16.8,55,86.24,12,Rainy,True,199.21,Yes,6,Hatchback,6730
585439,15-09-2024,14:23:10,51957434,College Campus,Anna Nagar,21.4,73,92.37,18,Rainy,True,181.2,Yes,4,Minivan,6132
466337,28-12-2024,15:48:19,44830139,College Campus,Tambaram,14.5,71,93.03,16,Sunny,False,151.76,No,7,Hatchback,0
627184,08-03-2024,18:12:11,48020105,Velachery,College Campus,29.6,20,86.55,20,Sunny,False,230.57,No,7,SUV,0
860569,18-10-2024,19:39:25,75151002,Velachery,College Campus,27.7,89,89.64,19,Cloudy,False,254.84,No,5,Sedan,0
126051,31-10-2024,03:05:59,42806044,College Campus,Anna Nagar,23.1,63,90.9,19,Sunny,True,198.93,Yes,5,SUV,8775
607761,23-10-2024,04:15:32,26106661,College Campus,Anna Nagar,7.6,36,90.06,18,Cloudy,False,68.45,No,7,Hatchback,0
857760,19-01-2024,13:02:05,12816176,Mylapore,College Campus,22.5,80,88.99,17,Cloudy,False,229.67,No,6,Hatchback,0
848953,21-12-2024,17:15:52,78060456,College Campus,Velachery,17.1,54,92.47,20,Cloudy,False,130.45,No,5,Sedan,0
32414,06-12-2024,02:22:52,40575831,Adyar,College Campus,9.2,88,93.76,15,Cloudy,True,94.89,Yes,5,Minivan,7861
906603,30-09-2024,06:38:08,82489609,College Campus,Tambaram,14.7,82,89.91,17,Rainy,True,128.28,No,6,SUV,0
379279,12-03-2024,06:33:54,4182471,College Campus,Porur,13.4,79,87.36,13,Rainy,True,148.58,Yes,4,Minivan,8011
11449,15-03-2024,13:40:42,53988798,College Campus,Adyar,20.6,29,86.81,17,Rainy,True,173.57,Yes,7,SUV,5020
244248,12-02-2024,09:35:06,83374564,Mylapore,College Campus,16.0,79,86.02,16,Sunny,False,167.74,Yes,7,SUV,5567
617921,13-02-2024,20:57:14,49255197,College Campus,T Nagar,23.2,26,85.87,14,Cloudy,False,256.14,Yes,7,Sedan,6732
632776,24-06-2024,09:19:54,41752129,College Campus,Velachery,8.3,16,87.81,14,Cloudy,False,85.9,No,7,Sedan,0
580693,23-01-2024,19:18:29,6699529,College Campus,Mylapore,12.9,84,88.94,18,Rainy,True,114.73,Yes,5,Minivan,5646
87572,20-01-2024,13:35:55,26571195,Mylapore,College Campus,26.0,48,88.29,19,Rainy,True,199.35,Yes,7,SUV,6824
49388,20-05-2024,16:47:24,10999187,College Campus,Mylapore,19.3,34,86.0,16,Sunny,True,202.29,No,5,SUV,0
404249,23-05-2024,17:37:01,53497118,Mylapore,College Campus,27.7,75,85.94,16,Rainy,True,290.13,Yes,4,Sedan,8162
835970,05-02-2024,09:13:33,26809787,College Campus,T Nagar,22.3,55,87.07,20,Rainy,True,160.19,Yes,4,Hatchback,7582
152700,02-08-2024,13:17:27,92202103,College Campus,Tambaram,29.2,71,92.25,18,Sunny,False,269.37,No,7,Minivan,0
516074,15-05-2024,05:19:50,56523700,T Nagar,College Campus,26.0,67,86.64,18,Cloudy,False,206.49,Yes,7,Minivan,7947
777114,24-10-2024,04:25:20,11403384,T Nagar,College Campus,25.2,15,90.21,18,Cloudy,False,208.39,No,6,Minivan,0
111714,20-05-2024,02:06:09,12293203,T Nagar,College Campus,21.3,59,86.0,14,Cloudy,True,255.14,No,5,Hatchback,0
293035,17-10-2024,14:32:04,64001803,Adyar,College Campus,28.7,83,89.89,14,Rainy,True,304.05,No,4,SUV,0
704812,08-06-2024,01:17:37,53988798,College Campus,Tambaram,16.6,30,86.36,13,Sunny,False,198.5,No,4,Sedan,0
270861,22-11-2024,08:14:37,98210127,Mylapore,College Campus,23.5,54,94.14,16,Sunny,False,228.14,Yes,4,Hatchback,6424
853014,13-05-2024,10:06:07,13822252,T Nagar,College Campus,23.6,36,86.33,14,Rainy,True,283.78,Yes,7,Hatchback,7846
603585,01-02-2024,01:36:44,96893333,Porur,College Campus,21.4,56,87.8,17,Rainy,False,182.37,No,6,Hatchback,0
712295,28-06-2024,22:41:36,37475169,College Campus,Tambaram,23.8,15,89.77,14,Rainy,False,274.7,Yes,6,Sedan,6164
766743,07-10-2024,11:39:51,44830139,College Campus,Mylapore,18.2,30,89.35,17,Cloudy,True,186.53,No,5,Hatchback,0
800305,19-05-2024,22:47:02,96452877,Velachery,College Campus,5.8,52,85.88,17,Cloudy,True,57.14,Yes,6,Hatchback,8738
894508,16-02-2024,17:26:07,47016361,Mylapore,College Campus,28.7,36,85.0,15,Cloudy,True,292.74,Yes,6,SUV,5752
677482,22-02-2024,16:10:05,83374564,Anna Nagar,College Campus,6.4,66,85.0,17,Cloudy,True,52.8,No,7,Sedan,0
296803,31-10-2024,15:56:29,54697813,Mylapore,College Campus,9.9,26,90.9,13,Rainy,True,124.6,Yes,5,Hatchback,7381
185715,05-03-2024,04:34:14,58467576,Porur,College Campus,29.4,35,85.41,14,Rainy,False,295.95,Yes,6,Hatchback,5751
212245,20-05-2024,17:30:39,62891946,College Campus,Porur,8.7,77,86.0,16,Cloudy,True,84.17,Yes,7,Minivan,8502
948684,08-06-2024,01:52:47,53591964,College Campus,Mylapore,20.2,23,86.36,17,Sunny,False,184.71,Yes,5,Sedan,6734
740401,09-07-2024,08:45:09,86965788,College Campus,Porur,27.0,41,88.4,18,Cloudy,False,218.79,No,7,Sedan,0
173123,28-11-2024,04:40:17,89559569,Tambaram,College Campus,13.3,56,94.74,13,Rainy,False,159.93,No,5,Sedan,0
909860,08-12-2024,19:37:26,27847057,T Nagar,College Campus,19.6,69,94.0,14,Sunny,False,256.62,Yes,4,SUV,5852
45924,06-02-2024,06:18:17,34563216,Porur,College Campus,6.1,76,87.17,15,Sunny,True,69.13,Yes,7,SUV,5085
366981,13-12-2024,06:22:16,38537209,College Campus,Tambaram,20.7,59,92.2,18,Sunny,True,206.76,Yes,6,Hatchback,8786
690485,03-02-2024,19:40:29,17609183,Velachery,College Campus,18.5,75,87.27,14,Rainy,False,190.28,No,5,SUV,0
496382,26-01-2024,13:37:12,41718970,College Campus,Tambaram,20.6,31,88.01,19,Cloudy,True,157.45,No,6,Sedan,0
592852,15-06-2024,08:46:03,88214087,Adyar,College Campus,25.7,26,87.53,12,Cloudy,True,365.55,No,7,SUV,0
491503,02-03-2024,02:28:35,26434831,College Campus,Anna Nagar,24.7,42,86.03,17,Sunny,True,224.99,No,4,Minivan,0
132064,26-02-2024,01:10:45,86965788,College Campus,Tambaram,20.7,55,85.87,12,Sunny,True,266.63,No,5,Hatchback,0
453819,29-12-2024,19:43:47,75151002,Mylapore,College Campus,17.8,63,93.23,13,Cloudy,False,248.92,Yes,6,Minivan,8738
529375,27-04-2024,06:34:24,26809787,College Campus,Adyar,21.0,30,86.07,12,Sunny,True,293.71,No,5,SUV,0
922893,04-03-2024,15:21:00,48454634,College Campus,Velachery,6.1,19,85.0,13,Rainy,False,77.78,Yes,6,Hatchback,8607
935861,27-04-2024,22:01:13,87488315,Mylapore,College Campus,23.8,34,86.07,14,Rainy,True,285.32,Yes,5,Hatchback,5082
392228,08-06-2024,16:18:28,26854888,College Campus,Mylapore,11.0,71,86.36,14,Sunny,True,122.14,No,5,Sedan,0
294479,19-06-2024,06:33:00,78792784,College Campus,Porur,16.0,81,87.53,19,Cloudy,False,121.62,Yes,7,Hatchback,5531
827148,01-06-2024,16:37:02,91350006,College Campus,Anna Nagar,9.1,71,85.55,12,Cloudy,False,107.04,No,5,SUV,0
5392,18-05-2024,02:17:39,25750987,Velachery,College Campus,19.6,51,86.5,15,Rainy,False,203.45,Yes,5,Minivan,8533
71284,19-07-2024,22:22:43,47162123,College Campus,Tambaram,15.4,17,87.87,12,Cloudy,False,186.06,No,7,SUV,0
607035,11-06-2024,04:38:00,86884330,College Campus,Velachery,10.2,46,86.84,19,Cloudy,False,90.91,No,5,SUV,0
803484,01-11-2024,07:34:01,24889817,T Nagar,College Campus,12.2,57,90.96,13,Cloudy,True,153.65,No,4,Sedan,0
252986,02-11-2024,09:28:48,48540760,College Campus,Mylapore,25.3,85,91.6,12,Sunny,False,318.65,No,4,Hatchback,0
327705,03-10-2024,23:12:23,88841272,Tambaram,College Campus,27.7,22,89.75,15,Cloudy,False,323.19,Yes,4,Minivan,6920
614883,12-07-2024,19:23:19,87488315,College Campus,Porur,11.6,75,88.31,20,Sunny,False,92.2,Yes,6,Minivan,8040
274224,27-01-2024,01:10:26,17593208,Anna Nagar,College Campus,16.5,75,87.44,17,Sunny,False,140.03,No,7,Minivan,0
285562,20-05-2024,07:18:54,26854888,College Campus,T Nagar,7.4,76,86.0,16,Rainy,True,77.56,No,4,Sedan,0
38995,24-08-2024,10:58:34,64318834,College Campus,Anna Nagar,5.8,81,91.29,13,Sunny,True,67.2,No,6,Hatchback,0
123660,20-07-2024,15:56:27,83615535,College Campus,Mylapore,28.1,25,88.15,13,Rainy,True,371.55,Yes,5,Minivan,8657
350539,31-03-2024,22:52:50,72843194,Velachery,College Campus,15.8,45,86.73,18,Sunny,False,137.03,No,5,Minivan,0
589056,09-04-2024,22:11:53,36866331,College Campus,T Nagar,10.7,54,85.93,17,Sunny,False,89.24,Yes,7,Minivan,7679
563824,05-06-2024,16:33:13,83374564,Velachery,College Campus,26.2,62,86.39,16,Cloudy,False,254.63,Yes,6,Minivan,7089
323345,10-02-2024,14:29:39,57935787,T Nagar,College Campus,28.9,74,86.0,16,Rainy,False,256.31,No,7,SUV,0
410193,06-09-2024,11:07:46,53954810,Anna Nagar,College Campus,11.1,31,91.46,15,Sunny,True,131.98,Yes,4,SUV,6939
26341,04-10-2024,02:58:48,31547454,Porur,College Campus,25.4,35,89.45,20,Sunny,True,204.48,No,4,Hatchback,0
507689,09-08-2024,17:49:41,3732412,Anna Nagar,College Campus,15.6,16,92.15,13,Cloudy,False,199.04,Yes,6,Minivan,8799
429709,07-12-2024,03:33:22,78792784,Adyar,College Campus,17.7,15,93.88,12,Rainy,False,228.48,No,6,Hatchback,0
768842,21-01-2024,03:51:22,83615535,College Campus,Mylapore,20.1,35,89.02,14,Rainy,True,210.88,No,6,SUV,0
835092,22-02-2024,06:11:49,26646392,Adyar,College Campus,8.6,84,85.0,14,Rainy,True,101.82,Yes,7,SUV,6721
767386,27-11-2024,16:07:13,3732412,T Nagar,College Campus,7.5,24,94.7,16,Sunny,False,86.56,Yes,4,Sedan,7934
469403,24-06-2024,17:16:54,35875061,College Campus,Adyar,10.7,25,87.81,13,Sunny,False,140.94,Yes,5,Sedan,5956
523728,07-08-2024,10:03:16,29375296,College Campus,Adyar,19.5,44,91.93,20,Rainy,True,161.34,Yes,4,Sedan,7716
103386,24-10-2024,09:45:05,71937078,Anna Nagar,College Campus,9.5,37,90.21,13,Cloudy,False,128.55,Yes,4,Sedan,6981
966482,28-10-2024,12:47:50,20473050,College Campus,Mylapore,5.2,52,90.24,15,Cloudy,False,56.31,Yes,7,Minivan,8896
135653,26-03-2024,13:47:32,8370384,College Campus,T Nagar,14.9,19,86.06,16,Rainy,False,132.24,No,6,SUV,0
454085,30-05-2024,05:07:25,93916926,Mylapore,College Campus,21.2,23,85.71,16,Cloudy,True,187.38,No,4,Minivan,0
632370,21-01-2024,12:15:44,72589023,College Campus,Anna Nagar,15.1,50,89.02,13,Cloudy,False,201.63,No,6,Hatchback,0
233161,21-07-2024,21:16:55,27847057,Porur,College Campus,20.0,35,88.69,20,Sunny,True,146.34,Yes,4,Hatchback,6190
386442,26-11-2024,16:54:25,85571452,College Campus,Anna Nagar,9.5,20,95.15,12,Rainy,True,124.29,No,6,SUV,0
282637,07-04-2024,13:35:49,42932388,Porur,College Campus,22.5,55,86.05,16,Cloudy,True,217.81,No,6,SUV,0
661119,12-11-2024,06:11:33,50849039,College Campus,T Nagar,26.1,70,93.74,19,Sunny,True,212.47,Yes,5,Hatchback,6729
299634,12-12-2024,18:54:40,10020860,Porur,College Campus,21.3,15,92.91,15,Sunny,False,237.48,Yes,4,Minivan,8001
827116,17-11-2024,09:13:09,28454908,Mylapore,College Campus,8.7,75,94.03,12,Cloudy,True,132.93,Yes,4,Hatchback,6862
183443,18-12-2024,21:14:54,60638547,Velachery,College Campus,17.1,61,93.06,17,Cloudy,False,154.45,Yes,5,Sedan,7871
948918,13-11-2024,08:40:55,90156880,Mylapore,College Campus,27.7,70,93.59,16,Rainy,False,315.95,Yes,7,Hatchback,8881
211281,25-06-2024,17:02:18,40008321,T Nagar,College Campus,17.6,50,87.82,16,Cloudy,True,188.37,Yes,6,Hatchback,7266
231797,23-08-2024,14:45:05,72843194,College Campus,T Nagar,19.5,42,92.3,19,Cloudy,True,184.72,Yes,4,Hatchback,7847
932246,05-03-2024,20:01:31,60756282,T Nagar,College Campus,29.4,59,85.41,18,Rainy,True,272.03,Yes,6,SUV,8565
144315,18-07-2024,04:48:49,85526442,Tambaram,College Campus,14.6,33,87.69,14,Cloudy,False,150.89,Yes,5,Hatchback,6381
853025,03-10-2024,10:54:13,74436050,College Campus,Tambaram,29.7,34,89.75,18,Sunny,True,244.34,No,4,Minivan,0
974280,02-07-2024,01:11:45,30540031,College Campus,T Nagar,5.3,55,89.36,18,Rainy,True,43.41,Yes,6,Hatchback,5738
378195,29-10-2024,16:16:08,25813868,Anna Nagar,College Campus,25.4,76,90.61,17,Rainy,True,243.69,Yes,6,Hatchback,6909
642129,23-07-2024,10:22:38,10327139,College Campus,Tambaram,13.9,69,88.53,15,Cloudy,True,159.97,No,5,Hatchback,0
676280,26-01-2024,15:23:53,83649499,Mylapore,College Campus,26.1,75,88.01,19,Rainy,False,235.75,No,6,SUV,0
186222,22-07-2024,22:44:49,84582586,Adyar,College Campus,20.3,38,89.21,16,Sunny,False,186.76,Yes,6,Sedan,8759
264433,10-07-2024,05:31:22,95283636,College Campus,Anna Nagar,20.6,50,88.83,14,Cloudy,True,215.67,Yes,6,Hatchback,5781
370942,08-11-2024,11:43:09,8507362,Mylapore,College Campus,5.9,53,92.33,19,Cloudy,False,51.61,Yes,6,SUV,8673
379254,10-12-2024,17:06:43,44830139,Mylapore,College Campus,8.0,27,93.51,14,Rainy,False,96.18,No,5,Minivan,0
850925,07-06-2024,04:39:46,8815776,T Nagar,College Campus,16.7,32,86.03,17,Cloudy,True,164.8,Yes,6,SUV,7634
611539,20-01-2024,05:34:34,52057659,College Campus,Velachery,29.5,41,88.29,20,Rainy,True,253.94,Yes,4,Sedan,6828
538232,15-08-2024,23:47:12,51848838,Velachery,College Campus,27.2,58,91.49,12,Cloudy,True,404.39,No,5,Sedan,0
236785,23-11-2024,11:15:41,4182471,Tambaram,College Campus,24.7,65,94.53,15,Rainy,False,280.19,Yes,4,Sedan,5278
878609,25-02-2024,12:57:17,31333879,College Campus,Adyar,6.0,49,86.29,19,Cloudy,False,44.96,No,6,Minivan,0
15003,20-11-2024,23:28:08,72173921,Adyar,College Campus,19.2,53,94.17,15,Cloudy,True,216.97,No,6,SUV,0
754077,14-11-2024,00:26:21,89485665,College Campus,Anna Nagar,8.8,29,93.75,13,Sunny,False,104.71,Yes,5,SUV,6389
1522,19-06-2024,21:57:31,10020860,College Campus,Velachery,21.4,63,87.53,17,Sunny,True,198.33,No,4,Minivan,0
615870,23-01-2024,13:13:02,71325726,College Campus,Mylapore,21.1,48,88.94,14,Rainy,True,241.28,Yes,4,Sedan,5346
636201,04-04-2024,06:11:55,28454908,Mylapore,College Campus,6.4,30,86.5,19,Sunny,False,48.08,No,5,Sedan,0
252951,24-05-2024,12:10:40,2016998,Porur,College Campus,15.2,29,86.07,12,Sunny,True,212.59,Yes,4,Sedan,8077
578161,28-06-2024,13:34:06,48118295,Mylapore,College Campus,26.1,79,89.77,15,Sunny,False,281.16,Yes,4,SUV,5046
852912,20-01-2024,02:54:12,13733153,College Campus,Mylapore,10.4,59,88.29,16,Rainy,False,111.91,No,7,Sedan,0
752959,18-10-2024,15:48:13,20235700,College Campus,T Nagar,6.1,31,89.64,15,Cloudy,False,60.15,Yes,4,Hatchback,8421
43648,25-05-2024,02:13:34,85394430,College Campus,Porur,26.2,76,86.46,14,Rainy,False,266.98,No,4,Hatchback,0
124078,21-02-2024,01:55:20,15889610,Tambaram,College Campus,10.6,60,85.0,15,Rainy,False,99.11,Yes,4,Hatchback,8053
937805,25-08-2024,11:12:45,70315549,Adyar,College Campus,24.6,54,91.38,14,Cloudy,True,313.11,No,5,SUV,0
942415,29-03-2024,20:58:38,90388133,College Campus,Tambaram,12.9,55,86.42,13,Sunny,False,141.5,Yes,4,Hatchback,6696
591571,12-01-2024,14:10:53,88469238,Anna Nagar,College Campus,23.7,68,91.78,12,Cloudy,True,353.47,No,5,Hatchback,0
59024,22-04-2024,05:49:24,89489721,Velachery,College Campus,25.1,15,85.38,18,Rainy,False,232.16,No,4,Hatchback,0
332681,01-02-2024,00:19:00,64323784,Anna Nagar,College Campus,7.8,70,87.8,18,Sunny,True,74.19,No,4,Minivan,0
163095,19-09-2024,05:18:43,76829411,Anna Nagar,College Campus,22.0,30,90.64,13,Rainy,True,299.11,No,6,Hatchback,0
270614,02-07-2024,14:07:03,3340059,Mylapore,College Campus,13.7,60,89.36,15,Cloudy,True,134.67,No,5,Sedan,0
823549,15-07-2024,15:51:53,4349625,College Campus,Mylapore,11.6,64,88.15,13,Sunny,True,141.58,Yes,7,Hatchback,8920
913704,20-02-2024,09:23:28,28585094,Anna Nagar,College Campus,16.5,81,85.16,16,Rainy,True,171.25,No,4,Sedan,0
612105,07-04-2024,00:49:15,52057659,College Campus,Tambaram,17.8,16,86.05,12,Cloudy,False,248.9,No,6,Sedan,0
568849,10-06-2024,00:14:03,44818965,College Campus,Velachery,16.1,73,86.26,13,Rainy,False,208.32,Yes,5,SUV,5904
211698,11-10-2024,23:56:39,25595932,College Campus,Velachery,24.8,75,90.92,19,Rainy,False,195.81,Yes,6,Minivan,7654
224318,22-10-2024,22:31:05,579475,Porur,College Campus,26.5,42,89.61,13,Cloudy,True,328.8,Yes,7,Hatchback,6349
576349,07-11-2024,09:21:06,74767716,College Campus,T Nagar,6.6,34,91.92,17,Sunny,False,64.24,No,5,SUV,0
814794,05-03-2024,11:43:24,3726781,College Campus,Adyar,21.4,35,85.41,12,Sunny,True,274.17,Yes,6,SUV,5647
867045,14-04-2024,23:07:25,41700977,College Campus,Adyar,10.6,58,85.0,18,Sunny,True,82.59,No,4,Hatchback,0
656760,28-04-2024,03:59:46,70475927,Adyar,College Campus,9.1,34,86.64,17,Cloudy,False,76.52,Yes,5,Minivan,5244
421478,13-06-2024,07:54:20,61397899,College Campus,Tambaram,14.0,39,86.91,14,Cloudy,False,156.44,No,5,Hatchback,0
549876,17-01-2024,08:54:28,24108597,Mylapore,College Campus,17.2,78,89.29,14,Rainy,True,181.0,No,7,Hatchback,0
330259,27-06-2024,21:34:12,34341023,T Nagar,College Campus,8.1,63,88.41,14,Sunny,False,84.4,No,4,SUV,0
242001,12-07-2024,00:39:58,59174556,Tambaram,College Campus,15.5,84,88.31,16,Cloudy,False,166.82,Yes,5,Sedan,7792
604020,11-11-2024,23:28:53,74188957,College Campus,T Nagar,12.0,75,93.4,16,Rainy,False,126.09,No,7,Sedan,0
737308,06-05-2024,03:04:52,4866365,College Campus,Velachery,15.0,67,87.85,17,Sunny,False,139.53,No,7,Sedan,0
705644,13-02-2024,16:49:20,42944315,College Campus,T Nagar,8.4,77,85.87,18,Cloudy,False,72.13,No,6,Hatchback,0
172223,08-10-2024,17:07:27,10020860,Mylapore,College Campus,8.6,42,89.68,14,Rainy,False,90.9,No,5,Minivan,0
569103,15-07-2024,12:13:12,53352565,Adyar,College Campus,13.9,64,88.15,17,Sunny,False,129.74,No,5,SUV,0
584018,03-10-2024,20:04:13,51774561,College Campus,Porur,10.3,86,89.75,13,Sunny,True,138.66,No,4,Sedan,0
816764,25-04-2024,06:07:47,35875061,College Campus,Adyar,27.8,69,86.67,16,Cloudy,True,293.65,Yes,5,Sedan,6201
