Date,Price
14-04-2024,85
15-04-2024,85.2
16-04-2024,86.15
17-04-2024,86.23
18-04-2024,86.36
19-04-2024,86.32
20-04-2024,85.36
21-04-2024,85.35
22-04-2024,85.38
23-04-2024,86.61
24-04-2024,86.52
25-04-2024,86.67
26-04-2024,86.65
27-04-2024,86.07
28-04-2024,86.64
29-04-2024,87.01
30-04-2024,87.41
01-05-2024,86.95
02-05-2024,87.66
03-05-2024,86.95
04-05-2024,87.25
05-05-2024,88.34
06-05-2024,87.85
07-05-2024,87.56
08-05-2024,87.61
09-05-2024,87.36
10-05-2024,86.59
11-05-2024,86.62
12-05-2024,86.09
13-05-2024,86.33
14-05-2024,85.87
15-05-2024,86.64
16-05-2024,86.25
17-05-2024,86.09
18-05-2024,86.5
19-05-2024,85.88
20-05-2024,86
21-05-2024,86.65
22-05-2024,85.85
23-05-2024,85.94
24-05-2024,86.07
25-05-2024,86.46
26-05-2024,85.84
27-05-2024,85.18
28-05-2024,85.44
29-05-2024,85.59
30-05-2024,85.71
31-05-2024,85.89
01-06-2024,85.55
02-06-2024,85.66
03-06-2024,85.81
04-06-2024,85.45
05-06-2024,86.39
06-06-2024,86.62
07-06-2024,86.03
08-06-2024,86.36
09-06-2024,85.87
10-06-2024,86.26
11-06-2024,86.84
12-06-2024,86.43
13-06-2024,86.91
14-06-2024,87.12
15-06-2024,87.53
16-06-2024,88.48
17-06-2024,88.36
18-06-2024,87.98
19-06-2024,87.53
20-06-2024,87.13
21-06-2024,87.09
22-06-2024,87.26
23-06-2024,87.4
24-06-2024,87.81
25-06-2024,87.82
26-06-2024,88.54
27-06-2024,88.41
28-06-2024,89.77
29-06-2024,90.08
30-06-2024,89.66
01-07-2024,89.12
02-07-2024,89.36
03-07-2024,89.25
04-07-2024,89.61
05-07-2024,89.84
06-07-2024,89.81
07-07-2024,89.38
08-07-2024,88.63
09-07-2024,88.4
10-07-2024,88.83
11-07-2024,88.94
12-07-2024,88.31
13-07-2024,88.4
14-07-2024,88.59
15-07-2024,88.15
16-07-2024,88.23
17-07-2024,88.26
18-07-2024,87.69
19-07-2024,87.87
20-07-2024,88.15
21-07-2024,88.69
22-07-2024,89.21
23-07-2024,88.53
24-07-2024,88.06
25-07-2024,88.31
26-07-2024,88.57
27-07-2024,88.83
28-07-2024,90.75
29-07-2024,91.04
30-07-2024,91.61
31-07-2024,92.08
01-08-2024,92.41
02-08-2024,92.25
03-08-2024,92.63
04-08-2024,92.25
05-08-2024,92.13
06-08-2024,91.88
07-08-2024,91.93
08-08-2024,93.08
09-08-2024,92.15
10-08-2024,92.49
11-08-2024,91.69
12-08-2024,91.45
13-08-2024,91.99
14-08-2024,92.03
15-08-2024,91.49
16-08-2024,91.13
17-08-2024,91.47
18-08-2024,91.11
19-08-2024,91.21
20-08-2024,91.24
21-08-2024,90.91
22-08-2024,91.98
23-08-2024,92.3
24-08-2024,91.29
25-08-2024,91.38
26-08-2024,91.05
27-08-2024,91.48
28-08-2024,91.08
29-08-2024,91.02
30-08-2024,91.27
31-08-2024,91.71
01-09-2024,91.11
02-09-2024,90.94
03-09-2024,90.7
04-09-2024,90.38
05-09-2024,91.26
06-09-2024,91.46
07-09-2024,90.83
08-09-2024,91.29
09-09-2024,92.35
10-09-2024,92.87
11-09-2024,92.11
12-09-2024,91.86
13-09-2024,92.5
14-09-2024,92.14
15-09-2024,92.37
16-09-2024,92.75
17-09-2024,92.29
18-09-2024,92.26
19-09-2024,90.64
20-09-2024,90.13
21-09-2024,90
22-09-2024,89.38
23-09-2024,90.19
24-09-2024,89.48
25-09-2024,89.26
26-09-2024,89.32
27-09-2024,90.04
28-09-2024,89.33
29-09-2024,89.91
30-09-2024,89.91
01-10-2024,89.42
02-10-2024,89.65
03-10-2024,89.75
04-10-2024,89.45
05-10-2024,89.49
06-10-2024,89.3
07-10-2024,89.35
08-10-2024,89.68
09-10-2024,90.48
10-10-2024,89.86
11-10-2024,90.92
12-10-2024,89.95
13-10-2024,89.87
14-10-2024,90.17
15-10-2024,90.31
16-10-2024,89.99
17-10-2024,89.89
18-10-2024,89.64
19-10-2024,89.35
20-10-2024,89.77
21-10-2024,89.95
22-10-2024,89.61
23-10-2024,90.06
24-10-2024,90.21
25-10-2024,90.62
26-10-2024,90.93
27-10-2024,90.52
28-10-2024,90.24
29-10-2024,90.61
30-10-2024,90.92
31-10-2024,90.9
01-11-2024,90.96
02-11-2024,91.6
03-11-2024,91.31
04-11-2024,91.58
05-11-2024,91.48
06-11-2024,91.37
07-11-2024,91.92
08-11-2024,92.33
09-11-2024,92.74
10-11-2024,93.39
11-11-2024,93.4
12-11-2024,93.74
13-11-2024,93.59
14-11-2024,93.75
15-11-2024,93.69
16-11-2024,93.73
17-11-2024,94.03
18-11-2024,93.62
19-11-2024,94.67
20-11-2024,94.17
21-11-2024,93.56
22-11-2024,94.14
23-11-2024,94.53
24-11-2024,94.85
25-11-2024,95.16
26-11-2024,95.15
27-11-2024,94.7
28-11-2024,94.74
29-11-2024,94.4
30-11-2024,94.89
01-12-2024,94.82
02-12-2024,94.41
03-12-2024,94.24
04-12-2024,94.45
05-12-2024,94.17
06-12-2024,93.76
07-12-2024,93.88
08-12-2024,94
09-12-2024,93.75
10-12-2024,93.51
11-12-2024,93.63
12-12-2024,92.91
13-12-2024,92.2
14-12-2024,91.84
15-12-2024,91.74
16-12-2024,91.89
17-12-2024,92.63
18-12-2024,93.06
19-12-2024,92.98
20-12-2024,92.97
21-12-2024,92.47
22-12-2024,92.46
23-12-2024,92.31
24-12-2024,92.47
25-12-2024,92.06
26-12-2024,92.32
27-12-2024,93.09
28-12-2024,93.03
29-12-2024,93.23
30-12-2024,93.58
31-12-2024,93.38
